Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,1326.599976,1326.599976,1326.599976,1326.599976,1326.599976,0
2018-03-23,1343.199951,1349.300049,1343.199951,1349.300049,1349.300049,8
2018-03-26,1348.500000,1354.400024,1345.099976,1354.400024,1354.400024,10
2018-03-27,1341.000000,1341.300049,1341.000000,1341.300049,1341.300049,290889
2018-03-28,1345.000000,1346.400024,1322.400024,1324.199951,1324.199951,59284
2018-03-29,1324.000000,1327.099976,1321.699951,1322.800049,1322.800049,5585
2018-04-02,1327.000000,1344.199951,1324.699951,1342.099976,1342.099976,649
2018-04-03,1340.400024,1341.500000,1328.500000,1332.800049,1332.800049,702
2018-04-04,1331.800049,1347.300049,1331.599976,1335.800049,1335.800049,718
2018-04-05,1333.500000,1333.699951,1322.599976,1324.300049,1324.300049,258
2018-04-06,1326.500000,1333.000000,1319.000000,1331.900024,1331.900024,348
2018-04-09,1333.000000,1337.500000,1327.000000,1336.300049,1336.300049,290
2018-04-10,1335.199951,1342.000000,1333.000000,1342.000000,1342.000000,105
2018-04-11,1340.099976,1365.400024,1340.099976,1356.500000,1356.500000,118
2018-04-12,1351.199951,1351.500000,1334.599976,1338.400024,1338.400024,34
2018-04-13,1335.900024,1346.000000,1335.900024,1344.800049,1344.800049,67
2018-04-16,1341.000000,1348.800049,1341.000000,1347.500000,1347.500000,60
2018-04-17,1348.000000,1348.099976,1339.000000,1347.199951,1347.199951,409
2018-04-18,1343.500000,1354.199951,1343.500000,1351.199951,1351.199951,45
2018-04-19,1348.599976,1355.199951,1341.599976,1346.800049,1346.800049,387
2018-04-20,1342.500000,1343.400024,1335.300049,1336.699951,1336.699951,310
2018-04-23,1334.000000,1334.400024,1322.500000,1322.500000,1322.500000,68
2018-04-24,1326.400024,1331.699951,1326.199951,1331.400024,1331.400024,28
2018-04-25,1324.000000,1325.000000,1320.000000,1321.199951,1321.199951,278
2018-04-26,1315.699951,1316.300049,1315.699951,1316.300049,1316.300049,569
2018-04-27,1315.300049,1321.699951,1312.800049,1320.300049,1320.300049,622
2018-04-30,1309.599976,1316.199951,1309.599976,1316.199951,1316.199951,49
2018-05-01,1313.199951,1313.800049,1303.400024,1303.800049,1303.800049,28
2018-05-02,1309.000000,1309.300049,1302.599976,1302.599976,1302.599976,23
2018-05-03,1310.699951,1310.699951,1310.699951,1310.699951,1310.699951,4
2018-05-04,1312.699951,1312.699951,1312.699951,1312.699951,1312.699951,0
2018-05-07,1310.599976,1312.500000,1310.199951,1312.199951,1312.199951,4
2018-05-08,1310.099976,1312.000000,1308.500000,1312.000000,1312.000000,337
2018-05-09,1311.300049,1311.300049,1311.300049,1311.300049,1311.300049,70
2018-05-10,1312.199951,1320.800049,1312.199951,1320.800049,1320.800049,8
2018-05-11,1319.000000,1319.000000,1319.000000,1319.000000,1319.000000,3
2018-05-14,1319.900024,1319.900024,1316.500000,1316.500000,1316.500000,4
2018-05-15,1304.599976,1304.699951,1288.900024,1288.900024,1288.900024,8
2018-05-16,1290.900024,1294.000000,1285.400024,1290.199951,1290.199951,26
2018-05-17,1291.300049,1291.300049,1288.199951,1288.199951,1288.199951,2
2018-05-18,1285.199951,1290.199951,1285.199951,1290.199951,1290.199951,2
2018-05-21,1287.400024,1292.099976,1287.400024,1290.199951,1290.199951,52
2018-05-22,1291.699951,1291.699951,1291.699951,1291.699951,1291.699951,50
2018-05-23,1289.300049,1289.300049,1289.300049,1289.300049,1289.300049,10
2018-05-24,1303.699951,1303.699951,1303.699951,1303.699951,1303.699951,0
2018-05-25,1303.300049,1303.300049,1303.300049,1303.300049,1303.300049,1
2018-05-29,1298.699951,1298.699951,1298.699951,1298.699951,1298.699951,386334
2018-05-30,1298.000000,1303.699951,1295.199951,1301.500000,1301.500000,50845
2018-05-31,1301.000000,1306.800049,1296.599976,1300.099976,1300.099976,4082
2018-06-01,1298.599976,1299.500000,1288.900024,1294.800049,1294.800049,663
2018-06-04,1293.900024,1297.099976,1290.000000,1293.099976,1293.099976,144
2018-06-05,1292.099976,1299.800049,1289.900024,1297.500000,1297.500000,357
2018-06-06,1296.099976,1300.400024,1294.099976,1297.099976,1297.099976,373
2018-06-07,1298.400024,1302.800049,1296.199951,1298.699951,1298.699951,79
2018-06-08,1295.300049,1299.400024,1294.800049,1298.099976,1298.099976,650
2018-06-11,1299.300049,1302.000000,1295.199951,1298.900024,1298.900024,71
2018-06-12,1297.800049,1298.099976,1292.699951,1295.099976,1295.099976,153
2018-06-13,1294.000000,1299.400024,1290.900024,1296.900024,1296.900024,135
2018-06-14,1297.199951,1307.699951,1297.199951,1304.000000,1304.000000,42
2018-06-15,1297.199951,1307.699951,1274.000000,1274.599976,1274.599976,589
2018-06-18,1280.699951,1280.699951,1276.199951,1276.199951,1276.199951,35
2018-06-19,1278.699951,1281.800049,1269.900024,1275.599976,1275.599976,34
2018-06-20,1274.400024,1274.400024,1271.199951,1271.199951,1271.199951,7
2018-06-21,1262.699951,1268.900024,1260.000000,1267.199951,1267.199951,46
2018-06-22,1268.099976,1270.199951,1267.000000,1267.400024,1267.400024,74
2018-06-25,1270.599976,1271.199951,1265.599976,1265.599976,1265.599976,37
2018-06-26,1267.199951,1267.199951,1256.599976,1256.599976,1256.599976,89
2018-06-27,1255.500000,1255.500000,1252.300049,1252.800049,1252.800049,1162
2018-06-28,1251.699951,1251.699951,1244.800049,1247.800049,1247.800049,378
2018-06-29,1250.300049,1253.300049,1249.099976,1251.300049,1251.300049,48
2018-07-02,1249.900024,1249.900024,1239.800049,1239.800049,1239.800049,29
2018-07-03,null,null,null,null,null,null
2018-07-05,1255.500000,1257.300049,1253.599976,1257.300049,1257.300049,9
2018-07-06,1255.500000,1255.500000,1254.300049,1254.300049,1254.300049,7
2018-07-09,1258.199951,1262.300049,1257.699951,1258.099976,1258.099976,37
2018-07-10,1256.199951,1256.900024,1249.300049,1253.800049,1253.800049,65
2018-07-11,1253.199951,1253.199951,1242.800049,1242.800049,1242.800049,30
2018-07-12,1240.900024,1246.699951,1240.900024,1245.000000,1245.000000,7
2018-07-13,1244.699951,1247.000000,1239.599976,1239.599976,1239.599976,2
2018-07-16,1242.699951,1243.800049,1238.099976,1238.099976,1238.099976,2
2018-07-17,1225.699951,1225.699951,1225.699951,1225.699951,1225.699951,0
2018-07-18,1226.699951,1226.699951,1222.199951,1226.300049,1226.300049,67
2018-07-19,1227.199951,1228.000000,1211.699951,1222.400024,1222.400024,33
2018-07-20,1229.500000,1229.500000,1229.500000,1229.500000,1229.500000,0
2018-07-23,1222.000000,1224.000000,1222.000000,1224.000000,1224.000000,1
2018-07-24,1223.900024,1223.900024,1223.900024,1223.900024,1223.900024,0
2018-07-25,1231.400024,1231.400024,1231.400024,1231.400024,1231.400024,0
2018-07-26,1227.800049,1227.800049,1225.300049,1225.300049,1225.300049,1
2018-07-27,1222.599976,1222.599976,1222.599976,1222.599976,1222.599976,254428
2018-07-30,1222.500000,1223.900024,1218.099976,1221.300049,1221.300049,62239
2018-07-31,1220.400024,1228.099976,1213.000000,1223.699951,1223.699951,2722
2018-08-01,1222.900024,1223.699951,1214.400024,1217.900024,1217.900024,1026
2018-08-02,1214.699951,1219.300049,1205.800049,1210.599976,1210.599976,411
2018-08-03,1206.500000,1218.599976,1205.099976,1214.199951,1214.199951,784
2018-08-06,1214.400024,1214.400024,1206.599976,1208.599976,1208.599976,297
2018-08-07,1207.800049,1214.800049,1207.800049,1209.599976,1209.599976,715
2018-08-08,1212.000000,1215.199951,1205.900024,1212.599976,1212.599976,209
2018-08-09,1214.500000,1215.300049,1211.599976,1211.900024,1211.900024,44
2018-08-10,1212.500000,1216.400024,1205.599976,1211.099976,1211.099976,75
2018-08-13,1207.000000,1207.400024,1191.300049,1191.300049,1191.300049,78
2018-08-14,1193.099976,1197.500000,1192.800049,1193.000000,1193.000000,92
2018-08-15,1187.800049,1188.099976,1174.599976,1177.500000,1177.500000,71
2018-08-16,1173.199951,1180.199951,1161.400024,1176.199951,1176.199951,123
2018-08-17,1174.699951,1181.199951,1174.699951,1176.500000,1176.500000,66
2018-08-20,1184.800049,1190.000000,1184.400024,1186.800049,1186.800049,68
2018-08-21,1189.800049,1192.599976,1189.800049,1192.599976,1192.599976,22
2018-08-22,1194.699951,1196.300049,1194.699951,1196.300049,1196.300049,17
2018-08-23,1189.300049,1190.300049,1184.900024,1187.000000,1187.000000,95
2018-08-24,1185.300049,1208.000000,1185.300049,1206.300049,1206.300049,12
2018-08-27,1210.300049,1211.400024,1205.199951,1209.000000,1209.000000,154
2018-08-28,1209.699951,1217.000000,1202.300049,1207.400024,1207.400024,136
2018-08-29,1205.199951,1205.199951,1202.400024,1204.500000,1204.500000,817
2018-08-30,1205.400024,1205.599976,1196.000000,1197.699951,1197.699951,493
2018-08-31,1207.099976,1208.199951,1199.099976,1200.300049,1200.300049,191
2018-09-04,1193.800049,1193.800049,1189.900024,1192.699951,1192.699951,26
2018-09-05,1192.500000,1196.000000,1192.500000,1194.900024,1194.900024,21
2018-09-06,1202.000000,1202.000000,1197.900024,1197.900024,1197.900024,7
2018-09-07,1198.300049,1198.300049,1193.099976,1193.599976,1193.599976,29
2018-09-10,1193.000000,1193.000000,1193.000000,1193.000000,1193.000000,11
2018-09-11,1190.400024,1196.300049,1190.400024,1195.400024,1195.400024,21
2018-09-12,1205.000000,1205.000000,1204.699951,1204.699951,1204.699951,37
2018-09-13,1203.400024,1203.400024,1200.000000,1202.000000,1202.000000,22
2018-09-14,1195.000000,1195.000000,1195.000000,1195.000000,1195.000000,1
2018-09-17,1199.699951,1199.699951,1199.699951,1199.699951,1199.699951,0
2018-09-18,1198.699951,1198.699951,1196.800049,1196.800049,1196.800049,2
2018-09-19,1202.199951,1202.199951,1202.199951,1202.199951,1202.199951,0
2018-09-20,1206.199951,1206.199951,1206.199951,1206.199951,1206.199951,0
2018-09-21,1196.199951,1196.199951,1196.199951,1196.199951,1196.199951,0
2018-09-24,1199.300049,1199.300049,1199.300049,1199.300049,1199.300049,0
2018-09-25,1202.099976,1202.800049,1200.000000,1200.000000,1200.000000,21
2018-09-26,1194.000000,1194.000000,1194.000000,1194.000000,1194.000000,17857
2018-09-27,1194.599976,1197.300049,1180.500000,1182.300049,1182.300049,4947
2018-09-28,1181.699951,1191.900024,1180.000000,1191.500000,1191.500000,404
2018-10-01,1191.599976,1191.599976,1185.800049,1187.099976,1187.099976,180
2018-10-02,1193.000000,1206.000000,1190.300049,1202.400024,1202.400024,451
2018-10-03,1202.599976,1202.599976,1196.599976,1198.300049,1198.300049,76
2018-10-04,1199.300049,1204.599976,1197.199951,1197.199951,1197.199951,496
2018-10-05,1197.099976,1205.300049,1196.900024,1201.199951,1201.199951,34
2018-10-08,1201.000000,1201.000000,1183.699951,1184.400024,1184.400024,250
2018-10-09,1185.599976,1189.099976,1185.599976,1187.199951,1187.199951,9
2018-10-10,1189.300049,1192.000000,1189.300049,1189.300049,1189.300049,1078
2018-10-11,1198.099976,1224.599976,1196.300049,1223.500000,1223.500000,126
2018-10-12,1221.599976,1221.599976,1216.000000,1218.099976,1218.099976,122
2018-10-15,1222.400024,1232.300049,1222.400024,1226.400024,1226.400024,136
2018-10-16,1227.099976,1230.500000,1227.099976,1227.300049,1227.300049,426
2018-10-17,1225.900024,1225.900024,1223.699951,1223.699951,1223.699951,1
2018-10-18,1226.500000,1226.500000,1226.500000,1226.500000,1226.500000,165
2018-10-19,1225.300049,1225.300049,1225.300049,1225.300049,1225.300049,55
2018-10-22,1224.500000,1224.500000,1219.599976,1221.199951,1221.199951,18
2018-10-23,1224.800049,1237.800049,1224.800049,1233.400024,1233.400024,33
2018-10-24,1231.599976,1231.599976,1227.800049,1227.800049,1227.800049,36
2018-10-25,1238.599976,1238.599976,1229.099976,1229.099976,1229.099976,7
2018-10-26,1234.300049,1234.800049,1232.500000,1232.500000,1232.500000,20
2018-10-29,1224.500000,1224.500000,1224.500000,1224.500000,1224.500000,214
2018-10-30,1227.699951,1227.699951,1219.800049,1222.599976,1222.599976,72
2018-10-31,1216.000000,1216.599976,1212.000000,1212.300049,1212.300049,121
2018-11-01,1215.400024,1236.000000,1215.400024,1236.000000,1236.000000,14
2018-11-02,1233.300049,1233.300049,1230.900024,1230.900024,1230.900024,18
2018-11-05,1230.599976,1231.500000,1226.699951,1229.800049,1229.800049,15
2018-11-06,1230.699951,1233.800049,1223.800049,1223.800049,1223.800049,4
2018-11-07,1228.599976,1228.599976,1226.199951,1226.199951,1226.199951,1
2018-11-08,1222.900024,1222.900024,1222.900024,1222.900024,1222.900024,2
2018-11-09,1207.900024,1207.900024,1206.400024,1206.400024,1206.400024,14
2018-11-12,1201.599976,1201.599976,1201.300049,1201.300049,1201.300049,1
2018-11-13,1196.300049,1201.300049,1196.300049,1199.199951,1199.199951,5
2018-11-14,1207.900024,1207.900024,1207.900024,1207.900024,1207.900024,0
2018-11-15,1212.800049,1212.800049,1212.800049,1212.800049,1212.800049,0
2018-11-16,1216.699951,1223.800049,1216.699951,1220.800049,1220.800049,5
2018-11-19,1223.099976,1223.099976,1223.099976,1223.099976,1223.099976,0
2018-11-20,1225.300049,1228.800049,1219.000000,1219.000000,1219.000000,12
2018-11-21,1225.800049,1225.800049,1225.800049,1225.800049,1225.800049,0
2018-11-23,null,null,null,null,null,null
2018-11-26,1220.199951,1222.000000,1220.199951,1220.199951,1220.199951,2
2018-11-27,1221.900024,1222.000000,1211.199951,1211.199951,1211.199951,5
2018-11-28,1211.500000,1221.400024,1211.500000,1221.400024,1221.400024,247168
2018-11-29,1221.000000,1228.699951,1220.500000,1224.099976,1224.099976,55478
2018-11-30,1224.099976,1225.000000,1216.099976,1220.199951,1220.199951,2060
2018-12-03,1222.500000,1234.099976,1221.300049,1233.900024,1233.900024,751
2018-12-04,1231.000000,1241.400024,1230.400024,1241.099976,1241.099976,474
2018-12-06,1237.500000,1244.400024,1234.800049,1238.099976,1238.099976,434
2018-12-07,1238.300049,1249.800049,1237.599976,1246.800049,1246.800049,211
2018-12-10,1249.599976,1249.599976,1241.699951,1243.699951,1243.699951,131
2018-12-11,1245.800049,1248.699951,1241.500000,1241.900024,1241.900024,117
2018-12-12,1245.300049,1245.599976,1244.099976,1244.400024,1244.400024,84
2018-12-13,1243.500000,1243.500000,1241.000000,1242.699951,1242.699951,194
2018-12-14,1241.699951,1241.699951,1234.099976,1237.000000,1237.000000,33
2018-12-17,1239.300049,1247.400024,1239.300049,1247.400024,1247.400024,10
2018-12-18,1248.199951,1249.199951,1245.599976,1249.199951,1249.199951,31
2018-12-19,1255.800049,1255.800049,1252.099976,1252.099976,1252.099976,268
2018-12-20,1243.199951,1263.599976,1243.199951,1263.599976,1263.599976,49
2018-12-21,1260.300049,1261.300049,1253.800049,1253.800049,1253.800049,96
2018-12-24,null,null,null,null,null,null
2018-12-26,1269.300049,1277.400024,1269.199951,1269.199951,1269.199951,63
2018-12-27,1276.699951,1277.300049,1276.699951,1277.300049,1277.300049,480
2018-12-28,1273.500000,1280.099976,1273.500000,1279.900024,1279.900024,805
2018-12-31,1278.000000,1281.300049,1277.599976,1278.300049,1278.300049,19
2019-01-02,1286.000000,1286.000000,1277.599976,1281.000000,1281.000000,149
2019-01-03,1286.800049,1292.000000,1286.699951,1291.800049,1291.800049,10
2019-01-04,1294.199951,1294.199951,1275.300049,1282.699951,1282.699951,34
2019-01-07,1286.800049,1286.800049,1286.599976,1286.800049,1286.800049,2
2019-01-08,1280.500000,1283.199951,1278.199951,1283.199951,1283.199951,54
2019-01-09,1279.400024,1289.300049,1279.199951,1289.300049,1289.300049,102
2019-01-10,1284.699951,1284.699951,1284.699951,1284.699951,1284.699951,0
2019-01-11,1291.199951,1291.199951,1286.300049,1287.099976,1287.099976,11
2019-01-14,1292.400024,1293.900024,1289.099976,1289.099976,1289.099976,7
2019-01-15,1290.099976,1292.699951,1286.199951,1286.199951,1286.199951,3
2019-01-16,1291.599976,1291.599976,1291.599976,1291.599976,1291.599976,2
2019-01-17,1291.599976,1292.699951,1288.500000,1291.000000,1291.000000,10
2019-01-18,1281.300049,1281.300049,1281.300049,1281.300049,1281.300049,3
2019-01-22,1282.500000,1283.300049,1282.500000,1282.500000,1282.500000,7
2019-01-23,1281.699951,1283.900024,1278.699951,1283.099976,1283.099976,14
2019-01-24,1279.099976,1279.099976,1278.500000,1279.099976,1279.099976,1
2019-01-25,1297.400024,1297.400024,1297.400024,1297.400024,1297.400024,0
2019-01-28,1300.800049,1307.099976,1298.400024,1302.400024,1302.400024,54
2019-01-29,1308.199951,1308.199951,1308.199951,1308.199951,1308.199951,213607
2019-01-30,1310.400024,1323.400024,1308.099976,1309.900024,1309.900024,54958
2019-01-31,1320.000000,1325.400024,1316.699951,1319.699951,1319.699951,1970
2019-02-01,1320.300049,1320.699951,1315.400024,1316.900024,1316.900024,878
2019-02-04,1318.099976,1318.099976,1308.300049,1314.300049,1314.300049,675
2019-02-05,1311.099976,1315.099976,1311.000000,1314.199951,1314.199951,362
2019-02-06,1312.500000,1313.500000,1305.000000,1309.500000,1309.500000,358
2019-02-07,1302.900024,1310.400024,1302.199951,1309.400024,1309.400024,203
2019-02-08,1309.500000,1314.000000,1307.800049,1313.699951,1313.699951,122
2019-02-11,1313.400024,1313.400024,1304.699951,1307.000000,1307.000000,119
2019-02-12,1310.000000,1312.000000,1307.599976,1309.199951,1309.199951,109
2019-02-13,1311.599976,1316.000000,1308.099976,1310.800049,1310.800049,143
2019-02-14,1305.000000,1311.800049,1301.599976,1309.800049,1309.800049,858
2019-02-15,1313.599976,1318.800049,1313.599976,1318.099976,1318.099976,190
2019-02-19,1320.900024,1340.099976,1320.500000,1340.099976,1340.099976,390
2019-02-20,1342.199951,1344.000000,1338.000000,1343.300049,1343.300049,581
2019-02-21,1331.300049,1334.900024,1320.900024,1323.500000,1323.500000,414
2019-02-22,1324.199951,1331.300049,1321.000000,1329.199951,1329.199951,718
2019-02-25,1329.199951,1331.599976,1325.599976,1325.900024,1325.900024,185
2019-02-26,1323.300049,1325.500000,1323.300049,1325.099976,1325.099976,939
2019-02-27,1327.699951,1327.900024,1316.500000,1317.699951,1317.699951,604
2019-02-28,1321.099976,1323.699951,1311.500000,1312.800049,1312.800049,141
2019-03-01,1312.199951,1312.199951,1288.900024,1296.400024,1296.400024,110
2019-03-04,1285.500000,1287.000000,1281.900024,1284.800049,1284.800049,28
2019-03-05,1287.000000,1287.000000,1282.000000,1282.000000,1282.000000,114
